name,x,y
Maroubra,41.7487,42.0214
Old Man,41.7528,42.0134
Longboard Home,41.7564,42.0008
Gold Fish,41.6765,41.6635
Archi,41.5575,42.3916
Kulevi Rivermouth,41.6314,42.2787
R-Land Left,41.6265,42.216
Mason Island,41.6238,42.2064
R-Land Right,41.6363,42.1803
Patara,41.6564,42.1423
Black Stone,41.6581,42.135
Radostniy,34.8697,44.8217
Dzhemete,37.2701,44.9585
"Southern Cape, Anapa",37.2972,44.8904
Shirokaya Balka,37.6987,44.6521
Ashe,39.2625,43.9565
Riviera,39.7122,43.5836
Hosta Rica,39.8685,43.5064
Arcadia Beach,30.7686,46.4295
Kometa,30.6621,46.2877
Zoom Beach,28.6583,44.1913
CC,28.6571,44.1846
Modern,28.6569,44.1812
Boeme,28.6449,44.0495
Tuzla,28.6639,43.9971
Vama,28.5756,43.7536
Shabla,28.605,43.545
Kabakam Beach,28.03,43.253
Sunny Day,28.0176,43.2405
Obzor,27.8845,42.8215
Sveti Vlas,27.7411,42.7075
Nessebar,27.7205,42.6577
Cental beach,27.6949,42.4204
Harmani,27.701,42.416
Arkutino,27.732,42.335
Perla Beach,27.7554,42.2877
Primorsko North Beach,27.758,42.2713
Lozenec Central Beach,27.8049,42.2126
Melnitza,27.859,42.165
Varvara,27.909,42.119
Ahtony,27.942,42.103
Silister,28.012,42.023
Torre Spaccata,16.6241,39.9535
Sabbiedoro,15.8334,39.6622
Sparvasile,15.8675,39.5725
La Tana Di Ciccio,15.9824,39.4598
Ponte Di Ferro,16.0175,39.3918
Lo Scoglio,16.0458,39.3074
Pilune,16.5709,38.77
Condojanni,16.2226,38.1869
Torre del Golfo,16.8198,38.9108
Spartivento,16.1048,37.9637
Le Serre,16.041,37.9215
Bova,15.887,37.9259
Giardini Naxos,15.2766,37.8206
Torre Archirafi,15.2181,37.7139
Spiaggia della Plaia,15.0868,37.4841
Playa di Catania,15.087,37.471
Catania - La Playa,15.0891,37.4432
Baia Arcile,15.1599,37.2918
Siracusa South,15.2868,37.0047
Morghella,15.125,36.701
Portopalo,15.1291,36.6669
Il Reef Dell'Isola,15.0759,36.6511
Marina di Modica,14.7755,36.7105
Ponente,13.621,37.232
Il Reef,13.5756,37.2643
Backdoor,13.393,37.333
"San Marco, Ciminiera",13.0453,37.4967
Faro,12.6629,37.5655
Cornino,12.656,38.09
San Vito,12.738,38.177
Praiola,13.08,38.155
Ciammarita,13.076,38.087
Magaggiari,13.084,38.161
Torre Muzzard,13.162,38.181
Isola Delle Femmine,13.244,38.193
Il Moletto,13.3288,38.2058
Santa Lucia,14.0023,38.0329
Lungomare,14.0175,38.0371
Qbajiar Bay ,14.2501,36.076
Ramla Beach,14.2739,36.0664
Golden Bay,14.3437,35.9338
Marleys,14.4567,35.9398
Ghajn Tuffieha,14.344,35.929
St. Thomas Bay,14.5663,35.8522
Jendouba,8.9117,37.0293
Ras Angela,9.7613,37.3354
Bizerte,9.8672,37.3198
Carthage,10.3331,36.8519
Kelibia,11.1174,36.8341
Hammamet,10.5459,36.3702
Pipeline,8.86,38.88
Chia,8.88,38.894
Su Conventeddu,9.019,38.995
Poetto,9.167,39.204
Racca Point,9.313,39.205
Solanas,9.428,39.133
Campulongu,9.5055,39.131100000000004
Sant Elmo,9.565,39.207
Porto Guinco,9.526,39.122
Santa Reparata,9.167,41.23
Rena Majore,9.1682,41.1729
li Cossi,8.9356,41.0466
Marinedda,8.885,41.017
Isola Rossa,8.8767,41.0093
Badesi,8.856,40.98
Porto Ferro,8.203,40.684
La Maddalenetta,8.299,40.572
Silver Rock,8.155,40.751
La Speranza,8.367,40.495
Santa Caterina,8.489,40.103
S'Archittu,8.491,40.087
Sa Mesa Longa,8.398,40.049
Mini Capo,8.392,40.029
Piscinas,8.446,39.545
Capo Mannu,8.383,40.03
Scivu,8.405,39.489
Portixeddu,8.41,39.438
Buggerru,8.401,39.405
Goroneddu,8.399,39.252
Spiaggia di Quartu,9.1977,39.2232
Maresciallo,8.364,39.109
Turri,8.4374,38.9651
Cala Ginepro,9.7901,40.4425
Le Ruppione,8.783,41.8323
Sanremo,7.816,43.821
Bistrot,7.843,43.825
La d'Oro,8.021,43.8762
Andora Liguria,8.153,43.95
Alassio,8.174,44.006
Molo,8.1759,44.0076
Albenga,8.223,44.041
Varazze,8.577,44.358
Arenzano,8.668,44.39
Multedo,8.824,44.423
Capo Marina,8.956,44.391
Bogliasco,9.069,44.377
Recco,9.141,44.36
Entella,9.331,44.31
Moneglia,9.482,44.24
Levanto,9.607,44.17
Lerici,9.905,44.082
Fiuma il Bunker,9.994,44.0488
La Goletta,10.0011,44.051
Marinella di Sarzana,10.002,44.048
Cinquale,10.139,43.978
Pontile,10.165,43.957
Bocchetta,10.233,43.862
Tito del Molo,10.24,43.864
Litorale di Pellestrina,12.3039,45.2781
Litorale di Lido,12.3473,45.3781
Cavallino,12.4982,45.454
Pontile,13.1147,45.6664
Levi Point,13.5394,45.3484
Barbariga,13.7366,44.9851
Camp Kazela,13.9665,44.8032
La Rotonda,10.028,44.0387
Il Trabucco,10.1398,43.9771
Tirrenia,10.2862,43.6359
Bagni Fiume,10.311,43.52
Livorno - Tre Ponti,10.3177,43.5092
Livorno - Il Sale,10.3197,43.4983
Garagola,10.425,43.398
Lillatro,10.429,43.382
Andalù,10.5002,43.2916
Baratti - Il Dado,10.5002,42.9937
Capo Bianco,10.3133,42.8203
Scaglieri,10.268,42.804
Biodola Beach,10.2686,42.8023
Procchio,10.244,42.79
Marina di Campo,10.24,42.748
Secchetto,10.177,42.736
Fonza Beach,10.2645,42.745
Lacona,10.299,42.758
Elba Island - Laconella,10.3007,42.7587
Elba Island - Margidore,10.3116,42.7568
Margidore,10.325,42.761
Mola Beach,10.386,42.7601
Rocchette,10.8012,42.776
Castiglione della Pescaia,10.8826,42.7606
Fiumara,10.9544,42.7349
Cala Di Forno,11.087,42.6169
Talamone,11.1525,42.5633
Gianella,11.17,42.4416
La Cantoniera,11.1296,42.4374
Lunga,11.1958,42.3821
Playa del Can - Tenda Gialla,11.2217,42.4137
Ansedonia,11.279,42.416
Frigidaire Capalbio,11.3151,42.4057
Banzai,11.839,42.029
Porto,11.875,42.037
Cala Della Morte,11.9046,42.0395
Pura Vida,11.916,42.038
